,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
0,Senapati,855.0,1009.0,134.0,1.0599816335436927,-0.06385788093252676,-0.625062562698198,-3.8409651618209506,0.5730312412142782,-0.68845271875977,0.8284317265643445,0.9598264586993328,0.06081339696854133,-0.4061745731349332,-2.0015186690534033,-0.474380506238374,-0.8667632193175606,-2.3282544028872585,2.815672238992707,-0.2635579775020389,-2.2997047535888604,0.9518287361738237,0.8467566512409088,0.5061488147547754,-0.11525811729041636,-1.4694302147010696,-2.060529064763447,-2.023469730764004,-0.5419977520706869,-0.7982902998468091,-0.2563821213800777,MN,Rural,North Eastern Zone
1,Senapati,896.0,1052.0,143.0,1.094748562362393,-0.10601159954364754,-0.6086385872939478,-3.915645857332182,0.577243608253743,-0.6035566401498084,0.8481943862452334,1.0039424386437488,0.1080059664221775,-0.3839869363170024,-1.9895058118541915,-0.41961300245604194,-0.8614237705264635,-2.2432862548008483,2.815672238992707,-0.17803591944889022,-2.2491728902347554,0.9811022215413169,0.8073156446127415,0.45941956781623616,-0.17523575862756205,-1.501725915319772,-2.091901997621717,-2.031319468269096,-0.5419977520706869,-0.7859511968812585,-0.23078327176624408,MN,Total,North Eastern Zone
2,Tamenglong,777.0,797.0,111.0,0.17342494866681718,0.38578178425276155,1.854957723343578,-3.8185609531675806,0.63621674680625,-1.0550494218482407,-0.1004132784374383,0.6399856041023221,-0.6403333491997644,-0.672426214950102,-2.145672955443947,-0.9007846428293885,-0.9949099903038908,-2.821069661788435,0.9608175556504432,-1.2670167919923168,-2.041430785334547,1.4202045020537157,1.872222823573256,1.4290514417909226,0.27459655140102945,-1.6847348854924191,-2.085627411050063,-1.866474980662165,-0.5419977520706869,-0.9216813295023154,-0.4697058681620253,MN,Rural,North Eastern Zone
3,Tamenglong,905.0,964.0,129.0,0.45156037921642533,0.5262941796231642,1.7892618217265772,-3.7513483272074724,0.6783404172008978,-0.8466681379874258,0.11697597805234056,0.7282175639911526,-0.370661523750416,-0.6502385781321712,-2.1036279552467048,-0.6856265922559407,-0.7813320386600071,-2.520848871883121,1.3102829307728987,-1.0161520883697475,-1.9235231041749696,1.4611873815682055,2.0562808545047035,1.7444738586260615,0.03468598605244748,-1.5878477836363118,-2.085627411050063,-1.8821744556723488,-0.5490280906829269,-0.8970031235712141,-0.4526399684194696,MN,Total,North Eastern Zone
4,Churachandpur,732.0,784.0,105.0,1.0339064369296673,-0.021704162321405977,0.5410396910035642,-2.855179981072691,0.8468350987794891,0.20681501930891635,0.9008948120609371,1.014971433629852,0.2698090616917864,-0.7833643990397557,-1.7552550964695581,0.33930812138484595,-0.5837724333894146,-0.9574349470931809,0.2350048534730355,-0.5543329748827445,-2.215484981332019,1.080632071790794,0.6626986203094618,0.10895021577719287,0.004697165383874282,-1.5878477836363118,-2.367983806774495,-2.408106868513509,-0.7458775718256461,-0.9710377413645179,-0.4526399684194696,MN,Rural,North Eastern Zone
5,Churachandpur,792.0,852.0,114.0,1.0599816335436927,0.04855203536379533,0.4178598754716879,-2.952264885237293,0.8510474658189536,0.2917110979188781,0.9338325781957522,0.9708554536854376,0.37093599623529205,-0.8425314305542377,-1.7973000966668,0.3862516960554165,-0.46630455998527864,-0.8271504533606857,0.1543589976755458,-0.5486315043458678,-2.176182420945493,1.1743072249667725,0.6889926247282399,0.14399715098109728,-0.1052618437342253,-1.6201434842550142,-2.4244550859193814,-2.408106868513509,-0.6755741857032463,-0.934020432467866,-0.4526399684194696,MN,Total,North Eastern Zone
6,Bishnupur,926.0,1119.0,133.0,1.2859666708652486,0.4419867424009226,-0.14055528827281796,-3.22858345862885,-0.4295121141783403,0.44992651714653364,1.348848431494422,1.1914353534075146,1.1462424944021687,-0.7833643990397557,-1.809312953866012,1.4737778425902974,0.7777870083403442,0.4643653975527427,0.3156507092705252,0.9679596584633017,-1.3227553954095024,1.426059199127214,1.5829887749666967,1.242134454036766,-1.1848593878028453,-1.189534142672315,-2.123274930479987,-2.149065530845475,-0.007692017540449288,-0.502151828673594,0.306792570124264,MN,Urban,North Eastern Zone
7,Bishnupur,924.0,1138.0,138.0,0.8600717928361623,0.6527553354565265,-0.13234330057069288,-3.3480725714468207,-0.21046902812617171,-0.15206385845137607,1.118284068550717,1.1362903784769953,0.21587469660191647,-0.849927309493548,-1.4489272378896532,1.4072744451403225,0.6656585837273051,0.5210108296103493,0.6919980363254774,0.7684081896726215,-1.7550835596612873,1.707084658655149,0.6626986203094618,0.41269032087769725,-1.224844482027609,-1.3725431128449623,-2.229942902198106,-1.6388325930144982,-0.014722356152689109,-0.6872383731568534,-0.00892657511301845,MN,Rural,North Eastern Zone
8,Bishnupur,1850.0,2257.0,271.0,1.0773650979530434,0.5403454191602044,-0.14055528827281796,-3.2808599454867124,-0.3242029381917207,0.16050806733984627,1.2368600266360508,1.1693773634353066,0.69454218677451,-0.8129479147969968,-1.6291200958778325,1.4385701615873694,0.7243925204293733,0.49268811358154596,0.5038243727980013,0.8767361298732768,-1.5473414547610789,1.566571928891182,1.1359906998474685,0.8332535433245489,-1.2048519349152271,-1.2756560109888548,-2.1797462096248736,-1.8978739306825327,-0.007692017540449288,-0.5885255494324483,0.1531994724412616,MN,Total,North Eastern Zone
9,Thoubal,918.0,1129.0,146.0,1.1555906877951199,1.6784958216604655,1.756413870918077,-4.139687943865877,0.10545849983368709,0.6235775870305461,1.3224982185865697,1.5112762080045252,1.1057917205847663,-0.7389891254038943,-1.8693772398620718,1.2586197920168498,1.2263007067925,0.14148643482438542,1.7941580655578375,-0.21224474267014978,-1.3901312132149755,1.1977260132607666,1.596135777176086,1.253816765771401,-0.7450233513304445,-1.4263692805427997,-1.8722914676138251,-1.9371226182079924,-0.21860217590764836,-0.600864652397999,0.3323914197380977,MN,Urban,North Eastern Zone
